Genus_species,Class,Familly,Genus,Species,Fishbase_url,English_name,French_name,Size,Size_ref,Mobility,Mobility_ref,Activity,Activity_ref,Schooling,Schooling_ref,Position,Position_ref,Diet,Diet_ref
Kuhlia_rupestris,Actinopterygii,Kuhliidae,Kuhlia,rupestris,https://www.fishbase.us/summary/Kuhlia-rupestris.html,Rock flagtail,Carpe d'eau douce,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Kyphosus_cinerascens,Actinopterygii,Kyphosidae,Kyphosus,cinerascens,https://www.fishbase.us/summary/Kyphosus-cinerascens.html,Topsail drummer,Saupe grise,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,macroalgal-herbivorous,https://doi.org/10.1098/rspb.2021.1712
Kyphosus_vaigiensis,Actinopterygii,Kyphosidae,Kyphosus,vaigiensis,https://www.fishbase.us/summary/Kyphosus-vaigiensis.html,Brassy chub,Saupe bleue,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,bentho-pelagic,https://doi.org/10.1098/rspb.2021.1712,macroalgal-herbivorous,https://doi.org/10.1098/rspb.2021.1712
Labrichthys_unilineatus,Actinopterygii,Labridae,Labrichthys,unilineatus,https://www.fishbase.us/summary/Labrichthys-unilineatus.html,Tubelip wrasse,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-sessile-invertebrates,https://doi.org/10.1098/rspb.2021.1712
Labroides_bicolor,Actinopterygii,Labridae,Labroides,bicolor,https://www.fishbase.us/summary/Labroides-bicolor.html,Bicolor cleaner wrasse,Nettoyeur bicolore,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Labroides_dimidiatus,Actinopterygii,Labridae,Labroides,dimidiatus,https://www.fishbase.us/summary/Labroides-dimidiatus.html,Bluestreak cleaner wrasse,Nettoyeur commun,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Labropsis_xanthonota,Actinopterygii,Labridae,Labropsis,xanthonota,https://www.fishbase.us/summary/Labropsis-xanthonota.html,Wedge-tailed wrasse,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-sessile-invertebrates,https://doi.org/10.1098/rspb.2021.1712
Lactoria_cornuta,Actinopterygii,Ostraciidae,Lactoria,cornuta,https://www.fishbase.us/summary/Lactoria-cornuta.html,Longhorn cowfish,Coffre,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Lactoria_fornasini,Actinopterygii,Ostraciidae,Lactoria,fornasini,https://www.fishbase.us/summary/Lactoria-fornasini.html,Thornback cowfish,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,both_diurnal_and_nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Lagocephalus_lagocephalus,Actinopterygii,Tetraodontidae,Lagocephalus,lagocephalus,https://www.fishbase.us/summary/Lagocephalus-lagocephalus.html,Oceanic puffer,,,NA,,NA,,NA,,NA,,NA,,NA
Lampris_guttatus,Actinopterygii,Lampridae,Lampris,guttatus,https://www.fishbase.us/summary/Lampris-guttatus.html,Opah,Opah,,NA,,NA,,NA,,NA,,NA,,NA
