Genus_species,Class,Familly,Genus,Species,Fishbase_url,English_name,French_name,Size,Size_ref,Mobility,Mobility_ref,Activity,Activity_ref,Schooling,Schooling_ref,Position,Position_ref,Diet,Diet_ref
Gymnothorax_javanicus,Actinopterygii,Muraenidae,Gymnothorax,javanicus,https://www.fishbase.us/summary/Gymnothorax-javanicus.html,Giant moray,,>80cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Gymnothorax_meleagris,Actinopterygii,Muraenidae,Gymnothorax,meleagris,https://www.fishbase.us/summary/Gymnothorax-meleagris.html,Guineafowl moray,Congre pintade,>80cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Gymnothorax_pictus,Actinopterygii,Muraenidae,Gymnothorax,pictus,https://www.fishbase.us/summary/Gymnothorax-pictus.html,Peppered moray,Congre,>80cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,nocturnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,piscivorous,https://doi.org/10.1098/rspb.2021.1712
Halichoeres_cosmetus,Actinopterygii,Labridae,Halichoeres,cosmetus,https://www.fishbase.us/summary/Halichoeres-cosmetus.html,Adorned wrasse,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Halichoeres_hortulanus,Actinopterygii,Labridae,Halichoeres,hortulanus,https://www.fishbase.us/summary/Halichoeres-hortulanus.html,Checkerboard wrasse,Arc en ciel jaune,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Halichoeres_iridis,Actinopterygii,Labridae,Halichoeres,iridis,https://www.fishbase.us/summary/Halichoeres-iridis.html,Rainbow wrasse,Labre arc-en-ciel,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Halichoeres_marginatus,Actinopterygii,Labridae,Halichoeres,marginatus,https://www.fishbase.us/summary/Halichoeres-marginatus.html,Dusky wrasse,Girelle arc-en-ciel,7.1-15cm,to.verify.probably.fishbase,mobile_within_a_reef,to.verify.probably.fishbase,diurnal,to.verify.probably.fishbase,solitary,to.verify.probably.fishbase,bentho-pelagic,to.verify.probably.fishbase,invertivorous-targeting-mobile-invertebrate,to.verify.probably.fishbase
Halichoeres_nebulosus,Actinopterygii,Labridae,Halichoeres,nebulosus,https://www.fishbase.us/summary/Halichoeres-nebulosus.html,Clouded wrasse,,7.1-15cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Halichoeres_nigrescens,Actinopterygii,Labridae,Halichoeres,nigrescens,https://www.fishbase.se/summary/Halichoeres-nigrescens.html,Bubblefin wrasse,Labre vert,,NA,,NA,,NA,,NA,,NA,,NA
Halichoeres_scapularis,Actinopterygii,Labridae,Halichoeres,scapularis,https://www.fishbase.us/summary/Halichoeres-scapularis.html,Zigzag wrasse,Girelle arc-en-ciel,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Halichoeres_trispilus,Actinopterygii,Labridae,Halichoeres,trispilus,https://www.fishbase.se/summary/Halichoeres-trispilus.html,Threespot wrasse,Girelle trois points,7.1-15cm,Fishbase,mobile_within_a_reef,as the other sp in the genus,diurnal,as the other sp in the genus,3_20_individuals,Fishbase,benthic,Fishbase,invertivorous-targeting-mobile-invertebrate,Fishbase
Hemigymnus_fasciatus,Actinopterygii,Labridae,Hemigymnus,fasciatus,https://www.fishbase.us/summary/Hemigymnus-fasciatus.html,Barred thicklip,Chien noir,50.1-80cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Hemigymnus_melapterus,Actinopterygii,Labridae,Hemigymnus,melapterus,https://www.fishbase.us/summary/Hemigymnus-melapterus.html,Blackeye thicklip,Tamarin vert,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,solitary,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Hemiramphus_far,Actinopterygii,Hemiramphidae,Hemiramphus,far,https://www.fishbase.us/summary/Hemiramphus-far.html,Black-barred halfbeak,Demi-bec,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,20_50_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,omnivorous,https://doi.org/10.1098/rspb.2021.1712
Hemitaurichthys_zoster,Actinopterygii,Chaetodontidae,Hemitaurichthys,zoster,https://www.fishbase.us/summary/Hemitaurichthys-zoster.html,Black pyramid butterflyfish,Papillon jaune et blanc,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_within_a_reef,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Heniochus_acuminatus,Actinopterygii,Chaetodontidae,Heniochus,acuminatus,https://www.fishbase.us/summary/Heniochus-acuminatus.html,Longfin bannerfish,Pavillon,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Heniochus_diphreutes,Actinopterygii,Chaetodontidae,Heniochus,diphreutes,https://www.fishbase.us/summary/Heniochus-diphreutes.html,False moorish idol,Faux idole des Maures,15.1-30cm,Fishbase,sedentary,as other sp in the genus,diurnal,as other sp in genus,20_50_individuals,Fishbase,bentho-pelagic,Fishbase,planktivorous,Fishbase
Heniochus_monoceros,Actinopterygii,Chaetodontidae,Heniochus,monoceros,https://www.fishbase.us/summary/Heniochus-monoceros.html,Masked bannerfish,Cocher,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,pairing,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,invertivorous-targeting-mobile-invertebrate,https://doi.org/10.1098/rspb.2021.1712
Herklotsichthys_quadrimaculatus,Actinopterygii,Clupeidae,Herklotsichthys,quadrimaculatus,https://www.fishbase.us/summary/Herklotsichthys-quadrimaculatus.html,Bluestripe herring,,15.1-30cm,https://doi.org/10.1098/rspb.2021.1712,mobile_between_reefs,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,>50_individuals,https://doi.org/10.1098/rspb.2021.1712,pelagic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
Heteroconger_hassi,Actinopterygii,Congridae,Heteroconger,hassi,https://www.fishbase.us/summary/Heteroconger-hassi.html,Spotted garden eel,,30.1-50cm,https://doi.org/10.1098/rspb.2021.1712,sedentary,https://doi.org/10.1098/rspb.2021.1712,diurnal,https://doi.org/10.1098/rspb.2021.1712,3_20_individuals,https://doi.org/10.1098/rspb.2021.1712,benthic,https://doi.org/10.1098/rspb.2021.1712,planktivorous,https://doi.org/10.1098/rspb.2021.1712
